;Asset : Occidental Petroleum Corporation (OXY);;;;;Value at the moment 28 April  ;;61,91
Implied Volatilty ;;;;;;;;
;;6 days ( May 5 ) ;1m (may 26 ) ;3,5m (August 18  ) ;6m (October 20 );1 y and 2 m  (June 21) ;;
;50;87,30%;52,44%;48,17%;46,74%;46,67%;;
;52;80,66%;53,66%;44,68%;45%;45,22%;;
;55;56,45%;45,85%;43,68%;42,94%;44,58%;;
;57;47,66%;41,21%;41,09%;41,85%;44,01%;;
;60;33,59%;37,26%;40,14%;40,60%;43,32%;;
;62;27,93%;35,60%;38,28%;39,45%;41,76%;;
;64;26,37%;34,25%;37,90%;38,38%;41,06%;;
;67;29,30%;33,08%;36,35%;37,38%;40,44%;;
;70;38,28%;32,30%;35,60%;36,44%;39,72%;;
;72;45,31%;33,79%;34,79%;35,76%;39,28%;;
;74;50,78%;36,91%;34,57%;35,36%;38,75%;;
;76;57,03%;37,40%;34,39%;35,00%;38,15%;;
;79;60,20%;38,48%;34,01%;34,67%;37,98%;;
;80;62,50%;39,50%;33,69%;34,30%;37,68%;;
;85;83,59%;45,61%;33,45%;33,74%;37,59%;;
;;;;;;;;
Value at the moment= ;61,91;;;;;;;
Time to maturity ;;0,023529412;0,083333333;0,291666667;0,5;1,166666667;;
Call ITM;55;6,125;7,65;7,95;10,95;14,7;;
Put OTM;55;0,045;0,54;2,045;2,975;5,75;;
;;;;;;;;
Call OTM;65;0,125;1,185;3,85;5,275;9,525;;
Put ITM;65;3,125;3,95;6,1;7,125;10,175;;
;;;;;;;;
D(0,T) = (ck1-ck2+pk2-pk1)/(K2-K1);;0,908;0,9875;0,8155;0,9825;0,96;;
;;;;;;;;
r (risk free rate )  r = -1/T * log(D);;4,101713266;0,150945386;0,699270367;0,03530987;0,034990281;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
CallDelta(StockPrice, StrikePrice, RiskFreeRate, Volatility, TimeToExpiration , DividendYield);DELTA;;;;;;;
;;6 days ( May 5 ) ;1m (may 26 ) ;3,5m (August 18  ) ;6m (October 20 );1 y and 2 m  (June 21) ;;
;50;0,991417966;0,847017838;0,868961741;0,752812805;0,770759896;;
;52;0,987831283;0,821109835;0,861359488;0,733020232;0,752598764;;
;55;0,994208952;0,81190146;0,886789559;0,705506148;0,714274495;;
;57;0,993557816;0,776613676;0,892901332;0,679420891;0,690478162;;
;60;0,993912971;0,691949363;0,917391745;0,627419364;0,648136581;;
;62;0,98746091;0,570759625;0,921892409;0,571732369;0,610775255;;
;64;0,943558379;0,407940004;0,897991788;0,503932344;0,567168309;;
;67;0,659773188;0,228702226;0,807496412;0,423654253;0,514984316;;
;70;0,337760675;0,173018677;0,690000357;0,400073487;0,503365115;;
;72;0,226924533;0,160413933;0,632625888;0,398993853;0,507821524;;
;74;0,155734843;0,145075959;0,591094674;0,394314518;0,509351016;;
;76;0,1156516;0,138563074;0,559789046;0,396248535;0,516506806;;
;79;0,060752068;0,106853759;0,515994657;0,375113723;0,505189261;;
;80;0,05269683;0,103676389;0,505407202;0,374816657;0,507292998;;
;85;0,048936782;0,126978329;0,490176085;0,416498745;0,557875135;;
;;;;;;;;
ThetaC(S, K, r, Sigma, T, q);Theta;;;;;;;
;;6 days ( May 5 ) ;1m (may 26 ) ;3,5m (August 18  ) ;6m (October 20 );1 y and 2 m  (June 21) ;;
;50;-188,0443146;-13,41097635;-28,9582985;-6,834964038;-5,014269955;;
;52;-195,584567;-16,80574764;-29,91721457;-7,086910635;-5,098505596;;
;55;-205,2040758;-17,97747432;-31,36069199;-7,441059858;-5,319259289;;
;57;-212,3543685;-18,72891614;-32,15414386;-7,630485866;-5,420453764;;
;60;-223,0569103;-20,03617923;-33,09531043;-7,812359955;-5,537102686;;
;62;-229,5066262;-19,86691809;-33,49148889;-7,762276215;-5,473340876;;
;64;-229,8170536;-18,26616559;-33,61420128;-7,622561375;-5,463034077;;
;67;-182,1578198;-13,75511833;-33,27512;-7,327389405;-5,439015965;;
;70;-110,7655769;-8,394094529;-32,17620942;-6,838619578;-5,345379094;;
;72;-82,93742712;-6,417204815;-31,00286419;-6,404233767;-5,256288281;;
;74;-62,48627788;-5,697378904;-29,53140521;-5,968725945;-5,132954327;;
;76;-50,58815855;-3,965591111;-27,79874145;-5,500166813;-4,97792114;;
;79;-29,44698555;-2,30759051;-24,78214032;-4,80339217;-4,806246844;;
;80;-26,42314445;-2,107336049;-23,63109498;-4,501601786;-4,707816256;;
;85;-28,89536242;-1,676607203;-18,11654212;-3,343198688;-4,373793959;;
;;;;;;;;
;Gamma ;;;;;;;
;;6 days ( May 5 ) ;1m (may 26 ) ;3,5m (August 18  ) ;6m (October 20 );1 y and 2 m  (June 21) ;;
;50;0,002812144;0,015140901;0,007287417;0,008265023;0,005191788;;
;52;0,004127214;0,018132049;0,008198491;0,009311133;0,005858854;;
;55;0,003073539;0,026731887;0,010169767;0,013951117;0,009004678;;
;57;0,004000846;0,035066729;0,011575265;0,017152965;0,011062162;;
;60;0,005398698;0,058606021;0,013561553;0,02573442;0,016521946;;
;62;0,012232741;0,078662001;0,015633753;0,032099343;0,020531337;;
;64;0,045337652;0,082386584;0,02019544;0,034556761;0,022302387;;
;67;0,131717821;0,057803639;0,027923349;0,030531313;0,020347064;;
;70;0,100536824;0,037407199;0,027564128;0,023055562;0,015584343;;
;72;0,070036664;0,030097632;0,024864749;0,019464558;0,013164317;;
;74;0,049567628;0,025123353;0,022881786;0,01731269;0,011745293;;
;76;0,035983662;0,021684903;0,020686563;0,015435941;0,010452027;;
;79;0,021040997;0,017116119;0,019804329;0,014390042;0,009909292;;
;80;0,018118015;0,01613007;0,019089122;0,013857028;0,009543843;;
;85;0,01277136;0,013931214;0,014269864;0,010662407;0,007061861;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;Vega ;;;;;;;
;;6 days ( May 5 ) ;1m (may 26 ) ;3,5m (August 18  ) ;6m (October 20 );1 y and 2 m  (June 21) ;;
;50;0,221403472;4,22188435;7,11207455;13,82769881;20,26747399;;
;52;0,300225709;4,671382877;7,392656775;14,39303352;21,13193504;;
;55;0,156471561;4,819854422;6,41775852;15,09261611;22,73005755;;
;57;0,171964397;5,338136332;6,167276208;15,6669641;23,57558258;;
;60;0,163542916;6,287711479;5,092462287;16,56593687;24,81644608;;
;62;0,308125325;7,017400914;4,881379797;17,18140576;25,64227545;;
;64;1,078206218;6,939161422;5,953493069;17,46364014;26,29843359;;
;67;3,480525626;5,409575202;9,146259903;17,14370635;26,65862696;;
;70;3,470801446;4,573697955;11,79572359;16,9137244;26,67649786;;
;72;2,861885097;4,355788122;12,59466293;16,90169336;26,67231961;;
;74;2,269987722;4,074840893;12,9894575;16,84801961;26,67011815;;
;76;1,850722944;3,950037424;13,18864313;16,87050503;26,65460766;;
;79;1,142340252;3,291108219;13,32800156;16,60160843;26,67519004;;
;80;1,0212294;3,220005585;13,33749824;16,59746345;26,67298915;;
;85;0,962773562;3,719492098;13,33467905;17,08052434;26,39622905;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;Rho ;;;;;;;
;;6 days ( May 5 ) ;1m (may 26 ) ;3,5m (August 18  ) ;6m (October 20 );1 y and 2 m  (June 21) ;;
;50;1,055151643;3,208790369;8,826307164;12,92813886;23,526511;;
;52;1,09244808;3,225987674;9,182598315;13,29833304;24,76526733;;
;55;1,166382628;3,461710796;10,69066017;15,02569513;29,72362528;;
;57;1,208176667;3,440251251;11,35615555;15,43849008;31,47227013;;
;60;1,272865877;3,244170198;12,64654404;15,765191;34,06862302;;
;62;1,306070381;2,749550399;13,23445343;15,0257374;34,15661621;;
;64;1,283682757;1,994338313;13,24818013;13,51632506;32,5399494;;
;67;0,920632209;1,124307922;12,13214662;11,34456292;29,2774572;;
;70;0,473445447;0,842256184;10,21886945;10,32298405;26,8696793;;
;72;0,317698659;0,773808263;9,204798323;9,981127717;25,74432161;;
;74;0,217937096;0,695563321;8,492572614;9,643487129;24,8454305;;
;76;0,161536393;0,659120036;7,906855211;9,430795724;24,07013498;;
;79;0,085092694;0,508444253;7,287263554;8,865194029;23,18075942;;
;80;0,073770846;0,492103958;7,097091738;8,776052673;22,90680198;;
;85;0,067654576;0,583863969;6,409264373;8,82296721;21,36647283;;